Year,Albania,Argentina,Armenia,Australia,Austria,Azerbaijan,Belarus,Bolivia,Bosnia and Herzegovina,Botswana,Bulgaria,Cambodia,Canada,Cape Verde,Costa Rica,Croatia,Czech Republic,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,Indonesia,Ireland,Italy,Jamaica,Japan,Jordan,Kenya,Kyrgyzstan,Latvia,Lebanon,Lesotho,Lithuania,Macedonia,Malawi,Malaysia,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Netherlands,New Zealand,Nicaragua,Norway,Pakistan,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Swaziland,Sweden,Switzerland,Tajikistan,Thailand,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Kingdom,United States,Uruguay,Venezuela,Vietnam,Yemen,Zambia
2000,20.2910444,0.000236702,50.8646871,0.187071752,0.112993461,0.049124624,0.031126079,0.430783201,,,0.753188587,,0.06066194,13.71473401,39.37968184,1.108344471,4.230208831,0.830864567,5.50004343,0.99549377,9086.957753,0.067274698,0.011806261,0.112993461,0.112993461,0.112993461,1.366094398,0.371482354,0.112993461,0.163115575,0.112993461,0.780704542,274.99636,72.92842327,18.2806909,2.240585396,1.260644728,50.9176028,4.513382108,3514.10988,0.112993461,0.112993461,2.906855437,9.506341286,0.000912365,8.694384702,14.99502152,0.112993461,27.91462418,1.085121036,0.112993461,,19.21736536,0.638401767,115.4458304,2.805616351,0.911663387,249.6436474,0.701313082,0.112993461,0.312112345,1.594504686,0.88580601,7.353832319,620.2752354,0.448091365,7.749083082,0.634101459,0.112993461,0.744586577,,0.139488473,0.112993461,0.112993461,1.085121036,213.9718682,0.112993461,1.085121036,0.911655192,0.160236922,432.5180986,6.547829095,0.12392154,0.145024482,0.219815066,0.205057205,265.7437789,1.601553523,0.023796543,0.120333213,1.649319583,,1399.156819,33.69734355,0.897171071
2001,5.414745153,0.000201729,25.53457731,0.221192163,0.109034125,0.067418029,0.058193261,0.53827646,,,0.265661287,494.9885913,0.058173348,12.57907109,38.51883979,1.058016674,3.161215939,0.810808241,4.220624645,0.857944416,10201.06952,0.288498962,0.011534999,0.109034125,0.109034125,0.109034125,2.489104226,0.37023698,0.109034125,0.235424142,0.109034125,0.812948714,349.2722592,71.20760173,18.59961264,3.49899389,1.011872865,43.51996312,11.80644253,2982.41497,0.109034125,0.109034125,4.418265702,8.768044161,0.000955459,9.066305841,14.65869307,0.109034125,13.7845501,1.562862644,0.109034125,9.176817372,22.00057859,0.427699788,120.7832053,3.007806703,0.653652323,185.1803827,0.800263449,0.109034125,0.337783971,1.527246885,0.830289988,7.651967708,757.6536294,0.374292478,7.721214536,0.43107238,0.109034125,0.919170332,,0.111958484,0.109034125,0.109034125,1.562862644,150.048629,0.109034125,1.562862644,1.113044786,0.123012599,536.7799132,4.635298226,0.031225104,0.150297658,0.431796129,0.091077767,284.8995446,1.641003517,0.039266003,0.110150233,1.507900318,,1186.373402,18.86081879,0.980220219
2002,5.207567724,0.982300019,25.75889875,0.166234984,0.095376378,0.080447712,0.074178775,0.664228896,,,0.189490489,27.64840904,0.041326116,10.11964281,40.08167314,0.852503671,3.04915591,0.712501198,3.070433039,0.991342185,9172.11633,0.530920882,0.010808318,0.095376378,0.095376378,0.095376378,3.761653104,0.311710801,0.095376378,0.259355201,0.095376378,0.608861839,334.5615734,62.90363766,14.95806105,5.177579057,1.158036574,30.62481493,11.97653275,1083.783063,0.095376378,0.095376378,4.961771055,9.069089049,0.000925777,7.808600169,11.46585532,0.095376378,4.589267961,1.968728423,0.095376378,5.769167969,18.80716579,0.04778209,103.6617047,2.550025163,0.200573044,120.8109768,0.756792095,0.095376378,0.221923446,1.421010976,0.653533561,5.749382163,1203.488085,0.240908869,5.756136195,0.30935885,0.095376378,0.986128755,,0.056174586,0.095376378,0.095376378,1.968728423,88.12750174,0.095376378,1.968728423,0.996909044,0.109070817,642.7798316,2.550389557,0.041755436,0.14064155,0.542445654,0.023143304,231.5106363,1.261741614,0.037078712,0.097961954,4.446659252,0.254856028,768.964788,18.00918247,1.028913422
2003,9.922666263,1.140585833,19.89489429,0.183103979,0.102662019,0.062126298,0.074307101,0.751026464,,0.681034665,0.200123386,17.20491132,0.07066645,7.498532134,45.35541083,0.743641674,4.3643113,0.770580883,2.295062904,6.131281541,5815.101682,1.032849136,0.00871768,0.102662019,0.102662019,0.102662019,6.257864259,0.090323574,0.102662019,0.234720405,0.102662019,0.226553156,273.3527572,67.27924905,5.418951441,8.597255066,1.24609136,27.67432072,10.9712355,936.4961985,0.102662019,0.102662019,6.997194387,6.722446231,0.000842986,3.116282196,3.720736958,0.102662019,4.170561072,1.650430108,0.102662019,6.082319583,19.68628573,0.000120185,24.40790204,1.964556946,0.607888457,45.11703487,0.78047036,0.102662019,0.272720178,1.345630264,0.801990025,4.217163988,1453.269946,0.047826789,6.143098811,0.16975242,0.102662019,0.768614063,,0.041978784,0.102662019,0.102662019,1.650430108,57.65765928,0.102662019,1.650430108,0.979698814,0.147827351,700.5671845,2.525059894,0.042250038,0.104358536,0.505988928,0.002713096,185.4628908,0.520616845,0.035319067,0.10008896,7.394274861,0.434163452,683.1239501,12.72520087,0.926669634
2004,18.52905838,1.117547688,21.22605111,0.240856613,0.140888868,0.037149818,0.057628536,0.728629202,0.279110901,0.668790989,0.273505589,11.37806258,0.11479156,9.179115331,53.2799129,1.058220916,5.848711532,1.053240835,8.85E-07,10.5673109,0.931695004,1.161219913,0.005135655,0.140888868,0.140888868,0.140888868,7.053179518,0.115681832,0.140888868,0.128804854,0.140888868,0.088229721,228.7691194,92.34364962,0.810036865,7.550797714,1.374882437,37.7595799,11.68055724,712.1812967,0.140888868,0.140888868,7.794993234,7.868882787,0.000836029,1.439982759,2.582324308,0.140888868,1.482878559,1.58275128,0.140888868,7.90048835,19.48691341,0.000115229,12.12852038,1.40250679,0.885924015,42.30900349,1.060189337,0.140888868,0.375122343,1.400269953,1.029698176,2.777378538,1280.323465,0.043065738,4.336803706,0.269176211,0.140888868,0.476101083,,0.045038326,0.140888868,0.140888868,1.58275128,66.09165729,0.140888868,1.58275128,1.245785633,0.207123824,584.4571994,1.792759623,0.043852587,0.087093071,0.370941627,0.004762726,110.9060715,0.058896478,0.059348949,0.149566039,7.878967321,0.535966588,619.5867535,9.648224263,0.670260515
2005,20.55457058,0.903861052,51.2037078,0.2859008,0.14717228,0.021938746,0.03242221,0.589679675,0.281898477,0.662851928,0.285560822,116.8117199,0.157163502,13.23472627,59.79248614,1.093824125,5.675301346,1.095124715,8.85E-07,9.703046581,2286.24907,0.926725891,0.00282299,0.14717228,0.14717228,0.14717228,5.898463771,0.159565943,0.14717228,0.072746916,0.14717228,0.136310525,725.8975652,96.55111155,2.800572858,6.768069533,1.341898909,33.64066629,14.89311952,666.4131409,0.14717228,0.14717228,7.342028705,7.342080517,0.000619212,1.758427663,3.081217178,0.14717228,2.283745021,1.69811382,0.14717228,8.383676904,20.05927775,0.006564279,6.988222174,0.992089283,0.838827228,49.54847592,1.186198814,0.14717228,0.421763695,1.212186311,1.042076289,1.565095067,904.9759774,0.089514216,2.181726618,0.352428624,0.14717228,0.201607839,,0.058697642,0.14717228,0.14717228,1.69811382,103.4748654,0.14717228,1.69811382,1.369009062,0.199244522,0.310138841,1.813598706,0.059203133,0.08859124,0.112714733,0.00451998,81.21268762,0.109801346,0.066507429,0.159906223,6.252249834,0.554496677,413.0989986,6.802442338,0.479134911
2006,18.27553759,0.115004945,74.35184102,0.222297699,0.11110295,0.036735864,0.01554524,0.355673162,0.211558975,0.664064139,0.215156092,147.6981164,0.170038974,13.33173672,60.34381653,0.84020768,3.937382824,0.81867317,8.85E-07,7.932788011,2286.24907,0.604345435,0.003038383,0.11110295,0.11110295,0.11110295,3.909689113,0.19032904,0.11110295,0.047029167,0.11110295,0.170534974,1328.812978,72.92367345,9.510084195,4.559757696,1.035686123,26.6626312,10.60469993,436.4276922,0.11110295,0.11110295,6.547017765,6.527132671,0.000430221,2.926165331,2.709357554,0.11110295,3.043584726,1.662833707,0.11110295,6.212304945,22.52710353,0.061951178,6.016540785,1.55880864,0.581366101,43.75024439,0.937758998,0.11110295,0.290851314,1.21393354,0.626393289,1.007587551,329.9947219,0.108776792,2.15553532,0.419544574,0.11110295,0.248722291,,0.078346944,0.11110295,0.11110295,1.662833707,120.5243155,0.11110295,1.662833707,0.97676205,0.1310139,0.19153477,1.958173204,0.074349938,0.065511868,0.069917374,0.00451998,72.64093435,0.145093791,0.053739383,0.130115333,3.03456762,0.392942842,283.7212332,8.466959877,0.451850357
2007,11.2248081,0.087379959,94.68963062,0.120839422,0.053962399,0.053557149,0.004464059,0.160692683,0.10436785,0.624695488,0.104220086,135.5078807,0.128663257,11.25273982,49.24923666,0.478640411,3.012186748,0.395542223,8.85E-07,4.036563358,2286.24907,0.221166033,0.003467182,0.053962399,0.053962399,0.053962399,1.808760856,0.178578905,0.053962399,0.028572478,0.053962399,0.17467856,1324.409317,35.66849352,11.8735388,1.895566234,0.671285675,28.42851235,5.534270453,431.3157293,0.053962399,0.053962399,4.480565784,4.208049438,0.00033883,4.576322039,2.56632043,0.053962399,2.954216032,0.443177647,0.053962399,3.082097661,18.28518805,0.161275671,4.807706112,1.719200941,0.19476102,31.36177199,0.489230759,0.053962399,0.133663564,1.34684951,0.460713605,1.25938693,553.245573,0.135769263,4.140047663,0.452221636,0.053962399,0.36629495,,0.094475637,0.053962399,0.053962399,0.443177647,116.0539055,0.053962399,0.443177647,0.468881954,0.051512614,0.16334621,2.80203776,0.063939822,0.030662942,0.080311917,0.00451998,91.43537383,0.152087429,0.03958381,0.085264295,2.506280819,0.227207193,219.0915873,9.363717162,0.485922028
2008,7.672835593,0.111416874,89.86627581,0.076624324,0.054779417,0.065154096,0.001065259,0.34548526,0.109487982,0.8416979,0.106775416,104.9296829,0.097525099,9.263108246,35.66550983,0.462756729,3.343668356,0.406767813,8.85E-07,3.676960904,2286.24907,0.28035941,0.002210887,0.054779417,0.054779417,0.054779417,2.991889708,0.158377543,0.054779417,0.082804802,0.054779417,0.145052794,1068.169882,36.0768105,11.61752657,1.820663446,0.290437553,33.50727934,11.39045845,382.3664827,0.054779417,0.054779417,5.11614173,6.086022454,0.000332238,4.700470219,2.442138367,0.054779417,3.24472007,0.773569948,0.054779417,3.502952066,14.56384444,0.211252722,10.16868347,1.624338541,0.202878999,14.3068185,0.503340358,0.054779417,0.071058037,1.459287578,0.444120307,5.113752248,749.0821438,0.181650997,5.181829278,0.465790779,0.054779417,0.330156299,,0.115235143,0.054779417,0.054779417,0.773569948,92.71440188,0.054779417,0.773569948,0.399441362,0.073152188,0.168243996,3.209476491,0.04027717,0.038099498,0.066943163,0.572315479,48.71997165,0.181504079,0.022094238,0.101636608,2.713623174,0.111563039,307.1762806,8.332491653,0.442734917
2009,6.509350657,0.314928028,58.81270432,0.062904555,0.052333155,0.056713437,0.029421001,0.470828255,0.103994497,0.765599488,0.102537863,43.43599876,0.057926412,5.765943941,34.21260474,0.417150606,2.735546924,0.391405959,8.85E-07,2.374728011,2286.24907,0.141191018,0.002409724,0.052333155,0.052333155,0.052333155,2.498186877,0.123449407,0.052333155,0.225495122,0.052333155,0.241239753,560.7479009,34.54173773,8.111179271,1.301376401,0.028403345,33.45955681,25.6811903,511.6206094,0.052333155,0.052333155,10.3048738,9.95897781,0.000382308,3.987585274,2.598715392,0.052333155,3.338713107,0.8795507,0.052333155,3.211776624,9.679196467,0.179995742,10.18251977,1.437137773,1.182144347,119.9664354,0.480953572,0.052333155,0.096448844,1.576988173,0.350589935,9.724878978,695.196181,0.158380218,4.18521975,0.341745772,0.052333155,0.263370058,,0.102494512,0.052333155,0.052333155,0.8795507,139.7337475,0.052333155,0.8795507,0.457463066,0.085636035,0.400785739,2.893632376,0.016574154,0.044711984,0.109565063,0.866403204,123.3205967,1.319581822,0.051136029,0.095551033,1.375793995,0.017132007,823.9374112,7.675175545,0.554232501
