Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,,,,,,,,,,38.21339637,39.08284518,41.15368446,40.80458372,39.7865544,39.2616889,37.15075365,36.5989977,34.75782654,33.00629584,34.38415972,38.87713886
Argentina,23.89473362,20.83357465,15.3318584,10.76270592,9.682518196,10.65349292,11.91026166,13.09854135,12.31394671,12.41620754,12.69010625,14.00871512,15.21281502,15.72909201,13.82376925,14.41423304,13.66763343,15.95849734,,,
Armenia,,,,,,,,,,24.85492197,28.4451646,35.36788787,40.0600551,42.38024049,48.91717311,45.63078261,48.87564437,51.54258581,55.50200273,59.91981034,72.1714386
Australia,87.73575948,88.65182692,91.48291996,99.4005682,102.9750197,108.7941021,113.9612066,120.7813095,121.9528539,122.6334485,125.4956583,122.3348414,121.2837239,124.782324,128.5068158,136.31738,142.4231683,140.2926654,139.5259087,135.8407547,141.9594047
Austria,,89.71336188,88.52152557,87.80636589,87.76584573,94.32410576,94.43760642,92.91988389,95.81296636,97.73957467,98.52832394,96.06109929,94.22379903,92.55775212,87.55558785,85.89120788,83.1743254,84.15090153,84.3347535,85.83456195,94.20496405
Azerbaijan,,,,,,,,,,,,,,,,,32.86885403,22.09960381,20.76648582,23.00186901,26.08445133
Bulgaria,11.95557499,14.33799895,18.77728457,25.89516766,33.14463659,39.06344649,42.45044567,58.49498754,66.97242884,68.95856852,68.61718463,65.61265413,66.106628,66.42797833,59.4120724,54.92277352,52.13942224,49.96831601,50.44045168,49.79655137,52.3300329
Belarus,,,,,,,,24.8038771,28.63419287,35.9356304,42.81137331,37.95861837,21.77755644,22.92620252,23.63266211,27.88282009,25.71702914,26.2361144,27.61409406,28.7688813,33.10863645
Bolivia,,,,,,45.025463,37.8000931,36.96842822,34.69262457,37.0182158,40.342284,40.79309633,44.13690591,46.67965721,50.32242011,58.06611719,63.97377312,64.53471269,67.8542925,71.19817309,
Botswana,14.71113308,16.58616021,19.28015902,19.97736212,21.9357047,19.76342956,20.48452853,22.66437371,25.78725583,28.93150815,27.1935797,27.41581167,31.82909412,31.79110358,31.01830031,33.77325412,31.5127238,31.415584,31.70305433,32.73435831,37.66069415
Canada,73.98773849,121.3528318,117.8394564,113.2409804,115.4433131,121.661093,134.1208071,123.5336481,124.0977717,,,,,,,,,,,,
Switzerland,141.5467698,136.3546451,137.1206471,140.5032806,142.1344414,145.588709,149.4494538,152.733782,145.0895298,154.0815951,152.768281,154.9893001,160.8966231,162.5618276,163.357034,164.8693218,168.4981839,,,,
Costa Rica,,,,,,35.86021913,37.86298409,43.77237764,49.38060624,47.65335108,44.31413317,46.02004275,47.45132058,49.72992436,53.09844531,55.12724843,58.63805377,59.68590601,60.385948,56.58795426,60.99076999
Czech Republic,44.93692927,37.11072666,23.66496692,24.33407758,25.6796961,29.22421195,33.84078931,38.68201153,43.22704719,44.97643084,46.33075958,48.32289308,49.40854682,50.60790849,49.45672946,49.54198338,51.05880435,50.90670769,51.33831762,50.64466441,53.60077956
Germany,,112.4173232,111.4307275,109.94054,106.4414458,105.4492617,102.0703708,97.12860315,97.0048184,98.76981515,88.49130401,84.89827589,83.80707461,82.09835133,79.30778874,78.12139397,77.45452573,77.76815569,78.39072104,80.17668633,86.62223196
Djibouti,32.06543541,26.44042206,24.39621988,22.58445017,21.11189018,20.07511573,20.18291193,22.5217827,24.33560795,29.34713033,33.11016514,30.90883396,28.93089884,22.16398555,22.19726628,21.65031411,20.44823373,21.25844548,20.91994167,20.76643469,19.65199544
Denmark,131.9684843,138.830011,141.6030651,140.0953724,145.6473996,157.5438171,169.0444789,184.4924334,191.1885387,201.2587222,193.039736,187.2410448,182.0962478,177.015373,173.3271593,169.9677082,166.5609788,161.8070096,161.2404034,159.7239387,163.8014123
Dominican Republic,,,,,23.6407583,19.64943663,18.69262141,20.7082666,20.72667962,21.54979535,22.71013498,22.90521799,22.49287736,23.38975111,25.20387323,25.96680749,26.85246478,27.26287869,27.21165507,28.16249314,30.39695605
Ecuador,,,18.07338282,17.23809087,19.75732708,21.33376368,21.80097734,22.84918462,23.72306531,23.92433578,26.53761191,27.49061116,28.38306914,28.98463766,29.49310731,29.3088888,30.79023233,34.2771582,38.30789495,42.48932381,47.59480906
Spain,,94.93470073,99.31839457,106.5994321,116.0122266,135.9833376,156.7601061,167.9479777,171.1879056,173.9768994,172.0336084,167.8007225,158.1771488,146.5172667,130.6162429,119.2608506,111.8075307,105.8952531,99.4891388,94.65203266,108.5425845
Estonia,,,,,40.31200839,56.61871285,76.28437902,83.76507882,89.56451404,100.8175524,92.04681476,77.32391859,72.37931615,69.03656479,66.83353163,68.46719659,69.21554981,64.06723719,61.93707717,58.97400317,64.05212572
Finland,,52.64910515,55.41920442,60.27057839,63.72592247,69.24590283,73.39861305,76.27758296,80.10037835,86.3029376,88.13508874,89.37868059,91.77365361,92.93709408,92.91483202,94.44851811,93.99957705,93.36900853,94.15437149,95.23726281,100.4223745
France,,76.97940297,76.07063621,75.5721282,76.61704476,80.14887551,84.26005234,88.8146454,92.52507052,95.06806884,95.8849069,96.8263222,96.55463126,96.0201947,94.08926092,95.090046,97.37432351,101.3718189,104.3838086,107.6418101,123.7333295
United Kingdom,115.2181768,120.6123641,125.264825,129.8655934,137.6716088,143.7102218,154.239525,170.2024145,191.697011,192.4742065,184.8855157,170.617544,160.9396775,149.6369225,135.4762636,130.6502622,132.1420837,134.1540838,134.6288062,133.5277464,146.4461594
Georgia,,,,,,,,,34.43633456,32.71523661,32.32996901,33.67957154,36.41034204,40.66505664,45.81196481,51.05591605,58.73272364,58.0573195,62.64781484,67.65608491,
Ghana,13.97149132,11.88439126,12.1495373,12.49304876,13.17248937,15.54406881,11.09358811,14.48843023,15.88199964,15.65806143,15.28969538,15.05013643,15.64476439,12.81122564,15.06180337,16.07731283,15.51147983,13.89357724,11.74268582,12.34053797,10.87825539
Guinea,3.988375577,4.041163558,4.148679633,4.226854457,3.785494778,5.656098216,4.604761393,3.262639738,3.239431837,2.659868992,3.942701597,6.817893779,5.918579641,7.341819774,9.935702803,11.82084908,10.7722594,9.115691528,9.651737672,10.23786415,9.071027511
Greece,,50.08139299,53.34159654,57.15326874,62.29124576,72.00528771,76.27733589,84.54042591,89.28990941,88.01806928,112.5457185,119.2991618,118.5601815,118.7881183,117.045768,112.9519911,108.7588052,100.7762413,91.65775497,80.92970785,82.08598987
Guatemala,,22.76671319,21.56157222,26.65440813,26.63084525,25.76644405,28.82849313,28.64102595,27.7613593,25.75636006,24.2180601,23.96393766,32.17208304,33.13094222,33.49615206,35.26220636,35.70284931,35.16763636,35.10608508,34.14460964,35.90377807
Guyana,57.1228498,60.72085952,62.11910155,57.5479804,53.20104886,57.12242743,22.65816058,22.35729777,21.83938685,23.34804937,24.51380031,26.43719584,28.7678074,31.97332894,36.65983103,36.50223963,34.95272841,34.06938663,36.57044558,37.09275189,39.17571804
Honduras,,36.68356621,36.0320656,37.19104638,37.81436819,38.84175807,44.72935316,52.27042007,51.29183267,50.33822017,47.46224708,47.30923103,51.27564823,54.72268682,55.0869372,54.59360022,57.54776541,57.63290985,62.76252384,63.94503306,69.75825766
Croatia,31.86628431,36.29538879,43.11728654,45.04727197,47.80154076,51.92742765,58.51355409,61.51788052,64.10672671,66.75026882,68.14812281,69.93734495,70.74525706,69.47705239,68.10114457,64.4233387,60.20155583,57.08092782,55.40840211,54.42082835,61.09311831
Haiti,8.945644773,8.300163102,9.986248552,9.812701005,8.394392487,8.837809888,8.733098665,7.986588547,8.720940546,8.449475439,7.929243208,8.518783951,10.81495977,11.06169825,11.69008247,10.76230542,10.71889339,10.43436111,11.51390815,10.86349298,9.308852981
Hungary,31.88472424,32.64294903,34.35830547,36.46227598,38.96983197,43.29943598,47.29016426,53.2578188,59.39479737,59.92442989,60.31278792,58.42766141,50.41460984,46.17666152,42.64191252,35.14533101,33.45220909,32.47548277,32.41653811,33.46284299,38.47428376
Indonesia,,,,,,,,,,27.65871049,27.25304113,30.08219936,33.43417143,36.05813961,36.42354516,39.1187983,39.40242469,38.73234956,38.80544967,37.75500922,38.68833111
Ireland,,71.82301756,75.43009804,85.74419585,104.9471489,124.695935,144.5725019,158.0508946,166.0243205,168.9870752,133.0936019,116.1977136,111.5954476,104.2817378,80.55470148,53.10490135,48.28339221,43.75490934,40.70785009,36.0493127,33.00545519
Iceland,93.52969513,95.10071536,100.5556734,125.1451157,157.7977677,239.5618231,304.5751127,246.6093073,192.8228005,172.585574,159.5842706,136.3874661,117.8361937,107.1752961,94.23487198,87.23369451,84.18907414,86.82470616,91.03951906,88.23765446,99.85984275
Italy,,60.34992479,62.06225768,65.33336507,67.72795784,70.85062866,75.77188136,81.79987885,83.68874044,87.56486503,93.0509631,94.06032112,93.75903241,90.84246281,88.61122267,87.34519182,84.94363796,80.78255305,76.709029,74.28193495,83.57933292
Jamaica,25.56436013,12.95205936,14.7238342,18.35216231,20.00582612,20.97807564,23.43907815,27.30668573,30.19132402,28.60347587,26.40566482,26.7957383,28.98832874,29.76976879,29.32293204,30.02946579,32.01803596,36.50520442,38.0150734,42.9274005,
Jordan,72.09051605,75.70763033,72.74006002,70.80200259,74.70092919,88.09422522,91.76891518,91.63125479,78.43456367,73.31976343,71.25475882,71.82594793,71.28902892,70.52722512,66.66394155,66.71117103,70.95308036,74.85181706,76.39403139,76.90000477,83.14171398
Japan,212.2687989,183.1815183,180.8463482,180.4876478,173.5370142,171.5591736,168.9654963,162.0445216,160.1400534,167.8223538,160.3569793,159.6118504,160.1450388,163.2187054,163.7262491,162.7281536,164.7706266,169.8143277,169.9592324,176.8276322,
Kenya,25.75838277,25.2226867,25.85460183,25.15567522,27.28751603,26.27687547,22.888311,23.04496428,25.38061175,25.02161,27.22812301,30.57264326,29.53615686,31.71305276,38.36355874,40.20407117,38.46368017,34.43976195,32.77122201,32.40638882,32.74000985
Cambodia,6.379891218,5.987943225,6.31035106,7.211242355,9.024891324,8.976211168,11.99230148,18.2065095,23.4592139,24.59369365,27.5578668,28.25321834,38.73996005,52.01451548,62.66266635,74.31674106,81.67383285,86.65213384,99.57414396,114.1939344,
Lebanon,87.90161414,86.02285113,82.57456705,78.64287036,78.1256872,69.66952645,71.81109422,74.10642013,76.27527271,72.04469361,82.52848001,89.98785657,89.91612499,93.25914126,98.14540546,100.5459117,103.8819265,106.341201,,,
Lesotho,13.7714837,12.47160866,12.49695559,5.349780265,5.255960102,7.233122641,7.360804436,9.993002648,10.02425436,12.6076623,13.41151251,14.34879116,18.56873242,19.94729837,19.3315017,18.27311522,18.21639203,20.00866512,20.45508166,21.54318587,
Lithuania,,,,,,,,,,,58.62559001,49.50000588,46.51877933,43.01711601,40.81592374,41.55766482,42.68978892,40.97804498,40.3947421,39.09150362,38.08528095
Latvia,,,,,,,,,,,95.0188695,77.63265381,64.33658134,57.78735292,51.36380015,48.32889117,46.72265552,42.15521211,36.62000761,34.6208917,34.56057346
Morocco,,,,,,,,,,,90.1261046,94.26244811,95.50650273,90.53837682,90.37594621,85.54826849,86.64531138,86.67040527,85.13779975,87.75025753,
Mexico,15.03995576,12.87772063,14.8862739,15.36828401,14.77658253,16.01332235,19.19634303,21.40365361,20.67314026,22.65381253,23.32882153,24.55433833,26.04809705,29.01746155,29.23683619,31.92032474,33.98170225,35.28576508,34.54897342,36.57342571,38.65694091
Mauritania,,,,,,18.40148131,14.61742261,16.29917868,19.20839421,19.97772334,18.27540307,16.59344738,16.76638119,18.34583983,19.52029977,21.11557839,20.29890976,21.19670802,23.3680613,23.60285137,
Mauritius,56.5017023,56.85271174,57.69549849,70.64440583,70.90782277,72.89879305,68.6878766,71.74673615,81.79805559,80.07701264,85.35512077,89.30543686,98.84754496,106.3064806,98.7708492,102.71541,96.26951523,102.3740881,78.25290753,80.25079684,95.97070764
Malawi,5.603747787,5.207935043,2.746888117,3.137009645,3.678724436,4.042700006,5.102491872,5.478204267,9.113463138,10.87477962,13.82961932,13.93238573,14.5742627,12.45304171,11.40363665,12.25859373,10.46680829,,,,
Malaysia,134.9998539,129.1013756,121.8273449,118.9741489,111.9376051,106.5244319,103.6638304,101.5800752,96.74825351,111.60689,107.1227526,108.4259367,114.1245298,119.8996939,120.578651,123.1036296,121.9798206,117.1675684,120.3019474,120.8703604,134.1417111
Nicaragua,,13.71783659,15.13039662,17.68000145,19.63950417,22.61956371,26.46188821,32.96271605,31.39017426,28.46403392,26.79022591,26.2020508,28.72555413,31.87192586,33.86111803,36.85124727,38.58000949,42.71416543,39.85711572,33.01946793,30.01922224
Netherlands,,110.4648243,109.1860509,108.8141807,112.8132994,116.3619135,113.5176701,113.3738715,110.9170609,117.2328365,113.6731504,114.503813,116.9495808,113.8430162,116.4216153,111.6036336,114.5655246,111.1438658,105.4856219,100.029744,101.064264
Norway,,96.30705246,102.5308105,106.8351366,105.3196595,106.9547904,97.52964039,107.5196166,119.9358672,128.1241237,128.3207003,125.7499688,123.4714426,124.9830035,129.1008955,138.6784963,145.8085927,146.4868716,143.4010242,150.5790968,165.8295332
New Zealand,,,,,,,,,,,,,,,148.9777265,152.274516,154.9086369,152.9311396,152.9790967,155.474735,
Pakistan,20.13963826,19.8099353,19.61297408,22.31455889,26.1275927,26.12753736,26.84998832,27.84320979,28.73378017,22.72278659,21.41291755,18.12633374,16.94004448,16.11551863,15.58895291,15.38607432,16.52508553,17.0554493,18.82981839,18.09499325,17.12766575
Panama,,,,,,,,,,,84.27420434,82.63650682,81.88724517,67.37413064,83.31206952,85.50204558,86.88514303,87.32260912,87.03935543,87.05833047,107.9711482
Peru,26.34167756,23.44780788,22.20204829,19.98574116,17.91023992,19.06642161,20.81316402,24.60707369,29.76396075,30.01452903,30.26168715,32.3092275,34.04374682,37.71992918,40.89962682,43.86793145,42.80902535,42.41461431,43.90838377,44.69537786,55.14749585
Philippines,35.6071396,36.2651173,33.66395998,31.94837336,31.00921165,27.89657364,27.47069492,27.63902332,27.87606106,27.89666842,28.33247881,30.49763975,31.90537598,34.33572791,37.5782838,39.90378358,42.86451799,45.60519779,47.5627908,47.97366866,51.89004682
Poland,26.43043323,23.56009812,12.86938024,13.33392189,26.27868021,27.11649319,31.213795,37.11713942,47.28319167,47.03886591,48.6966805,51.44050379,50.28790681,51.38329192,52.59098384,53.56507535,54.41781993,52.4582189,52.53377829,50.80275801,50.24416412
Portugal,,115.0027543,119.0522096,120.6719962,121.1907741,124.7730218,133.4129522,142.235675,151.4811766,159.8613019,155.6048037,156.2589342,152.9493626,143.0874264,129.750483,119.8348531,111.2430748,102.606207,96.9928843,90.44059203,100.0332175
Paraguay,23.76039843,24.16866754,20.85562797,12.68617075,12.29681119,12.28088846,11.66828606,13.71766497,18.75969801,21.58143065,25.42413906,28.95225032,31.54630209,34.37789428,38.13814904,43.34964647,41.35571913,40.51086234,43.93701169,46.97065791,49.76593728
Romania,7.12522458,8.653376568,10.08985851,14.13226812,15.78192827,20.05825486,26.00542562,33.99995467,35.91470424,37.0103193,39.15044331,39.33106897,37.74800363,33.99024808,31.04867759,29.92980237,28.12767901,26.47339333,25.72739123,24.75367616,26.05309523
