Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,31.9066884,36.72933483,36.05553906,35.89398444,37.79568933,37.91978994,38.07020022,36.38476433,33.94930423,32.70886883,28.42844784,29.3662101,26.48867734,26.07957549,24.15866706,24.41347056,24.36795165,24.57647492,23.8868072,22.50737384,23.25272425
Argentina,16.19264939,14.17911832,11.96064809,15.13750756,15.89378728,17.3511469,18.33118672,19.51607916,19.01016098,15.58175264,16.64146616,17.2482847,15.85752542,16.28951119,15.97995408,15.56474508,14.27236275,15.16219875,14.65988967,13.54408941,13.37784212
Armenia,21.71400015,20.83744658,24.8429527,27.08676191,28.1078274,35.09419069,41.85068025,43.50453186,46.83331579,42.88387857,39.37510944,30.73674486,23.59883562,21.212512,19.99505739,20.6125616,17.35771966,17.648376,16.74091087,15.75370144,16.56624716
Australia,25.99707483,23.2796646,24.3658295,26.12015581,26.72492187,27.10091709,27.87712132,27.45949956,28.2671643,27.63023303,27.09491389,26.05592741,27.42964458,27.85875479,26.88432497,26.20446497,25.30345382,23.95341276,24.34651837,23.2347338,22.51588818
Austria,25.61168088,24.79662177,23.53057015,24.10811565,23.59150835,23.05211575,22.60075583,22.91702768,23.27646562,22.41300826,21.59672377,22.47171545,22.64929279,23.04019756,22.66055247,22.69670746,23.09628743,23.62546768,23.98428397,24.68365488,25.27560899
Azerbaijan,23.13643204,22.88170667,34.08,52.88183027,57.71025298,41.30884408,29.70095273,21.39948167,18.5787748,18.81943177,18.16672554,20.17760455,22.45518662,25.79388814,27.43039375,27.82530342,25.03458822,23.81720782,20.69407681,21.1295518,23.50901947
Bulgaria,16.73117243,19.26591832,18.97725984,19.80513737,20.95071515,25.66516507,27.43774506,28.30645676,33.00531271,27.78101433,22.317372,20.94578004,21.22626177,21.25970336,21.12683041,20.90857438,18.45281733,18.36424291,18.79260912,18.70534201,17.82127722
Belarus,25.2015481,22.66904246,21.9847427,23.74824968,25.31735205,26.51662668,29.66076678,31.37632468,33.30374726,35.53743262,38.82708438,37.68588586,33.41611021,37.18684605,33.22436403,28.65431481,25.44007836,26.15798661,26.2274188,27.03453743,24.78490674
Bolivia,17.8874788,13.92677349,15.64964629,12.6639234,11.68712089,12.99084671,14.29667928,16.13959424,17.24871717,16.47926099,16.57224535,18.96562563,18.36287724,19.06008183,20.98204962,21.37105961,20.67048419,21.26835535,20.16608925,18.97525996,
Botswana,25.14247788,25.91849909,27.47239656,28.01585283,27.84177356,25.33981253,26.20104614,28.38526169,30.58263561,34.90965604,33.6161817,32.04485235,36.2276774,33.49768661,30.46076238,33.98692026,31.06504835,29.11307513,30.23113845,31.51973111,31.85371573
Canada,19.59933566,20.15176469,19.97491805,20.01240096,20.87459685,21.83742938,22.88520314,23.33899573,23.46901704,22.30696975,23.46123696,23.5104954,24.49418648,24.18721208,24.38932937,23.85058193,22.77237646,22.69633255,22.56015683,22.2836511,23.00340145
Switzerland,27.09352031,26.35939491,26.45380954,25.80872766,26.44480141,26.42374025,26.29071919,26.46650581,26.05200163,24.5416165,24.44966167,24.63232172,25.24903217,25.1165622,25.28246895,25.24344601,25.39798014,25.97353308,25.42646692,25.51733329,25.97455037
Costa Rica,19.68958205,19.83481568,19.78399662,19.79017552,19.87815645,19.95180243,20.2930668,22.36499928,23.74497153,21.00356297,19.45640929,19.43251566,20.0288559,19.81561008,19.83994956,18.98892625,18.82454301,18.17776069,17.99565511,16.59060451,16.55421786
Czech Republic,31.19312036,31.10906563,29.76890964,29.39090163,28.76964751,28.78846214,28.44369436,29.93323285,29.24840336,27.61481114,27.14881777,26.75486415,26.15536847,25.35988246,25.40362274,26.53804727,24.94264493,24.9162793,26.30521483,26.2498728,25.12755199
Germany,23.11432893,21.77819511,20.12178589,19.52332506,19.09101356,19.07669852,19.80289969,20.05653018,20.30296604,19.26753975,19.54250507,20.3708475,20.32109306,19.90147082,20.04027423,20.01982698,20.29830225,20.42925156,21.13129802,21.68672533,22.07218589
Djibouti,,,,,,,,,,,,,,25.04562059,28.11646625,30.26226869,27.73804886,26.21773236,27.79946078,32.08878,17.1702
Denmark,21.50761487,21.30337657,20.63892929,20.69939748,20.6627018,21.1733752,23.27271812,23.51340168,22.94394473,20.16890013,18.11368898,18.15822844,18.77770094,19.0523918,19.16365612,19.85062937,21.0247729,21.22570993,22.02738205,21.95048749,22.70038526
Dominican Republic,25.04435713,23.57825989,24.75224704,20.05372035,20.43936113,22.61261991,25.88014001,27.03742999,28.11153483,23.1617171,25.19689949,24.74107058,24.08004513,22.31367641,22.78036726,23.2557687,22.94514776,23.73025916,25.78095718,26.77385662,27.34566985
Ecuador,19.01478175,19.05148469,20.6893985,19.24185343,19.70155167,20.42242427,20.8531747,20.76927799,22.37358234,22.80511933,24.6248273,25.82195689,26.96384527,27.55361501,27.21442003,26.5790661,25.09642408,25.4048967,25.58308878,24.88993022,23.53309008
Spain,25.94084134,25.87729121,26.15575704,27.09861816,27.8076229,29.01158885,30.02730561,29.86223652,27.83646571,23.1132221,21.78894742,20.02175297,18.52760986,17.37054417,17.77973915,18.01445819,17.96020972,18.67098386,19.45831441,19.86934153,19.84972782
Estonia,26.65209116,27.41069106,30.54312973,32.74750261,31.72545887,32.88245788,36.82310312,36.39816174,31.09278203,22.55065874,21.05994252,26.21885147,28.49686414,27.72058706,25.57584023,24.31638783,24.22601239,24.89771038,24.58468231,26.2128577,31.30284549
Finland,23.05741634,22.87523854,21.60203656,21.78333959,22.25777599,22.91802024,22.76384206,24.19549692,24.49386148,22.95498688,22.29633842,22.61639006,23.07784139,22.0080168,21.47203681,21.22998321,22.74478434,23.34899095,24.00896892,23.856556,23.59948961
France,21.51435325,21.51339228,20.95338982,21.03484098,21.3646092,21.79743531,22.45070884,23.18266576,23.59605095,22.06750388,22.10541932,22.42387055,22.45811479,22.04186778,21.81973378,21.49927767,21.81530252,22.49584502,22.90697581,23.62596817,22.89171271
United Kingdom,17.89159595,17.85097178,17.74961248,17.35958312,17.21040275,17.28423776,17.56338226,17.89694616,17.46927342,16.06973916,15.97768904,15.59512114,15.71379333,15.95653854,16.62837733,17.23275342,17.70771921,17.99790889,17.80046802,18.01381287,17.56530064
Georgia,25.44738297,27.23491459,24.48476931,27.3525531,28.16180288,28.786927,26.21338806,26.37903235,22.03838552,15.71333259,18.91932764,20.31383077,22.11493611,18.78949817,21.85451741,24.3521438,26.5227704,25.49212985,25.14764773,24.03294698,24.5111176
Ghana,23.09813093,27.1229213,18.77494577,22.93692798,28.37750668,29.00214064,22.95412369,15.38454499,16.49196394,15.47882959,11.76409219,11.97694023,16.10990938,25.58337526,29.78714259,29.90262674,27.22865172,20.6330258,23.24608943,19.51205404,
Guinea,19.59366978,15.49944042,14.2990505,19.81333002,19.74645289,18.55460714,19.95276094,24.66996098,22.58947766,20.93560567,19.13718732,23.60218863,25.11777935,23.42938551,22.71136995,23.96917239,52.41831683,25.76582414,19.46740955,17.3448764,15.01059776
Greece,24.64121644,24.73679322,23.60249705,25.32475703,24.39502051,20.82895123,23.68587469,26.01185065,23.81373244,20.79147969,16.55926587,13.67615105,11.52913604,11.21358267,10.82735604,10.78678682,11.02439209,11.73249231,10.83975555,10.13517719,11.11543911
Guatemala,16.12561254,18.60193668,19.61979751,18.96159189,18.64025871,18.58989157,20.43683642,19.90588467,18.22684543,15.37760321,15.04883901,15.04591634,15.02692489,15.09056771,15.17177757,14.51658077,13.87171704,13.60942934,13.69905083,14.30123497,13.51001809
Guyana,23.77598249,21.5703447,20.86049903,20.95211587,23.54568087,24.78477367,,,,,,,,,,,,,,,
Honduras,25.77244966,23.93745086,21.51763691,22.9262739,27.08035231,24.91442056,27.32635926,32.1934758,33.59737883,22.0079149,21.55586964,24.44077775,24.37101579,23.58542028,22.28544003,23.68300792,22.0345381,23.53214833,24.74735561,22.84076389,18.97756933
Croatia,20.07693611,20.59502389,22.35089714,25.80684987,25.68298416,25.43035125,26.58392329,26.80260958,28.19008729,25.22333991,21.1831272,20.18922143,19.58220058,19.65626775,19.25516655,19.54913189,20.0566482,19.95245758,20.36329258,21.02159678,22.32360597
Haiti,8.255648137,8.006452476,9.649861458,16.91845999,11.56334141,9.788357336,14.7982474,9.138193407,12.67361829,12.97293762,25.41190804,20.99675913,17.50917931,15.20641087,14.5477593,14.19438015,11.8015013,12.63827368,14.02517754,16.47144073,12.06619142
Hungary,25.50240723,24.85239014,24.71441349,23.62049045,24.07766269,23.88249689,23.52035563,23.73000442,23.37202371,22.69314797,20.10883929,19.56245392,19.2001935,20.83802671,22.0518409,22.18991483,19.51593882,22.1713345,24.77585361,27.1231396,27.34208127
Indonesia,19.85085445,19.6726582,19.42916405,19.50605922,22.44861697,23.64051177,24.13099153,24.94694364,27.69859122,31.11476656,30.99940883,31.30745404,32.71962807,31.96577957,32.51674144,32.81192658,32.5777315,32.16063886,32.28849709,32.34713452,31.73342946
Ireland,23.76286555,23.95193794,23.60034857,24.91839899,26.9624781,29.84222194,30.98704387,28.6983241,24.79756155,21.1299621,17.54746189,16.76001727,19.61627163,18.56587838,20.61200861,24.07151651,35.82521687,33.1453938,28.35228988,45.59740066,29.89636625
Iceland,24.55524397,23.17086202,19.80814884,21.43241997,24.88397773,29.60815767,35.40943001,29.4240779,25.36718539,15.33208035,14.08254621,15.36753006,15.98291828,15.60199137,17.15826402,19.33302481,20.9356602,21.772501,21.62235699,20.61583049,21.07663393
Italy,20.73080352,20.72107006,21.36339927,20.87531509,20.96412703,21.28165423,21.58037281,21.66055729,21.2778792,20.11051599,20.02422423,19.71387151,18.30905945,17.20458697,16.72216809,16.93546701,17.17099697,17.48077615,17.84854856,17.96252976,17.77053199
