Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,7.633866403,9.311123961,4.853922135,5.925630153,5.951880823,6.071390912,6.570331606,6.783926591,8.328035999,4.048888488,4.223037747,2.821557928,1.585156475,1.187203907,1.985426103,2.516852986,3.480117005,3.897710666,4.328395578,2.609888198,-2.750816342
Argentina,-1.874936367,-5.447048173,-11.85478172,7.676534048,7.884937505,7.729488996,6.955533576,7.924210888,3.029500652,-6.854225055,9.300122922,4.788683139,-2.14528445,1.265685175,-3.57858051,1.629664279,-3.110063898,1.757648183,-3.550091173,-3.055854858,-10.77497741
Armenia,6.570086565,10.27940312,13.82346307,14.60582159,11.13422934,14.64320764,14.07860742,14.69586826,7.819138194,-13.51939082,2.582897383,4.7283176,6.913698623,2.823926169,3.073178678,2.735918024,-0.161329865,7.18452239,4.952230836,7.38219728,-7.771688905
Australia,2.701328764,0.565688738,2.739716104,1.722900255,2.856048922,1.851139498,1.289214061,3.197559712,1.601302301,-0.142470567,0.492053155,1.048854351,2.119683584,0.834364138,1.015114223,0.732407044,1.177907008,0.591766543,1.379960221,0.618187911,-1.532086198
Austria,3.12743665,0.880259098,1.152676331,0.450946527,2.099711169,1.549877317,2.943417859,3.391730827,1.143307119,-4.016340042,1.592577128,2.576448318,0.222450577,-0.562298943,-0.122370667,-0.11154019,0.89246914,1.69076313,2.081696592,0.968753111,-6.980978608
Azerbaijan,10.19102962,9.051822301,8.625351139,9.37646097,8.301538012,26.66009473,32.99706632,24.04867893,8.293390791,7.121819526,3.54986089,-2.847182953,0.853886052,4.483203027,1.522431572,-0.147024804,-4.141174903,-0.824348483,0.62488441,1.616169342,-5.122379486
Bulgaria,5.300838382,5.904565725,8.278099417,5.988070656,7.24831911,7.963428687,7.616424611,7.343463915,6.832886277,-2.750290659,1.223588178,3.012992727,0.939559724,0.888813875,2.466219592,4.6555006,4.551172108,4.261548231,3.839552119,4.426793443,-3.48302802
Belarus,6.299636448,5.263892131,5.716082411,7.794917912,12.21261832,10.14976717,10.6755868,9.099459979,10.58130499,0.423651191,7.982069183,5.572385837,1.780361776,0.987444297,1.63497133,-3.982648864,-2.648709831,2.567482608,3.309792107,2.106839747,-0.699793741
Bolivia,0.544854523,-0.235740274,0.579784521,0.831475281,2.298390878,2.574925411,2.977253409,2.78136714,4.368494273,1.649164361,2.429302282,3.511074097,3.453658224,5.127593307,3.843749695,3.282698885,2.731976373,2.696155263,2.752163602,0.796515958,-9.086162227
Botswana,-0.064863831,-1.625584261,4.205109672,2.831243212,0.893974819,2.607174833,6.189759782,5.993576872,4.017076034,-9.442021048,6.727326038,4.559247783,3.219551903,10.10178009,2.849377993,-3.185735475,2.410346881,0.796941829,2.208042171,0.80609523,-9.770031885
Canada,3.945218564,0.309869781,2.303577137,2.879569828,2.948998271,4.008877889,3.118693069,5.835793375,-0.080294839,-4.030419849,1.949628189,2.142309009,0.663247995,1.253613813,1.841026124,-0.089285801,-0.135842621,1.811114549,0.992851882,0.430211134,-6.42792661
Switzerland,3.393747681,0.935103969,-0.759080084,-0.78567427,2.11713012,2.225677166,3.364296546,3.070462499,1.458141101,-3.295521168,2.19808651,0.793490807,0.148135707,0.657546866,1.204481604,0.507122106,0.936883741,0.641284066,2.257361417,0.363465117,-3.563179852
Costa Rica,1.851802693,1.651631397,1.731106372,2.735632301,2.914440846,2.512478291,5.846817278,6.760552891,3.365398682,-2.136805798,4.056807725,3.147663007,3.653958913,1.325289728,2.391709165,2.531383287,3.108306775,3.092566338,1.045978719,1.193992798,-5.412335669
Czech Republic,4.293071465,3.430857546,1.76597432,3.613338965,4.782365794,6.454261737,6.478203603,4.956085333,1.838240193,-5.198981919,2.136880484,1.55018979,-0.92373445,-0.079052895,2.154500479,5.181402654,2.340552261,4.889722042,2.854108113,1.911497864,-5.840757539
Germany,2.773221251,1.510558261,-0.365628327,-0.755077167,1.197055352,0.788917116,3.933610331,3.114245883,1.152029742,-5.454577169,4.339606777,5.869635737,0.230160993,0.163870563,1.784341886,0.617105353,1.408102075,2.219242851,0.964114716,0.328933878,-5.065138224
Djibouti,,,,,,,,,,,,,,,5.225655191,5.894352044,4.917151591,3.7303378,6.731900604,6.150547468,-0.969351783
Denmark,3.400684546,0.462534295,0.145880727,0.117358167,2.403233997,2.055110516,3.572063464,0.462731494,-1.094842128,-5.414013999,1.419486631,0.920393685,-0.149916088,0.513424428,1.105433466,1.622166258,2.443368874,2.162355113,1.670273714,2.481837309,-3.016545479
Dominican Republic,3.079984528,0.942844621,2.981566664,-2.742901918,1.151470008,7.95089605,7.736422901,6.033693331,1.908505747,-0.304580775,7.016783452,1.89221321,1.500005264,3.650818788,5.81878933,5.715518778,5.468634895,3.518071155,5.834537488,3.958404175,-7.657060908
Ecuador,-0.813578256,2.134705573,2.284631765,0.984821248,6.406664248,3.54392893,2.669282015,0.494765341,4.607021102,-1.058101365,1.892865177,6.221016513,4.070286801,3.387267007,2.198973161,-1.50763432,-2.898018796,0.573913174,-0.483429078,-1.653249634,-9.15874487
Spain,4.776451415,3.214081018,1.290050047,1.136253252,1.35870928,1.915695738,2.357813153,1.704522023,-0.709567924,-4.611871706,-0.297088607,-1.166192626,-3.02242537,-1.111898854,1.687449704,3.915768451,2.94434856,2.732360583,1.982401979,1.223860587,-11.24951899
Estonia,9.575215699,6.656806126,7.481062462,8.243924917,7.40764686,10.11865922,10.36763506,8.065437419,-4.834110307,-14.26876692,2.924796343,7.753296038,3.479976405,1.707510078,3.257769918,1.778146655,3.157781185,5.371503507,3.992898208,4.607048745,-3.235544444
Finland,5.553997853,2.37665487,1.460928622,1.76083857,3.690587797,2.428689227,3.628941348,4.852313276,0.315886377,-8.513028487,2.714966735,2.073396315,-1.865591174,-1.357215611,-0.776108383,0.21302942,2.516379895,2.950531373,1.177543063,1.16130971,-2.933777286
France,3.214280673,1.24418882,0.402714806,0.111081739,2.075364595,0.89976454,1.737540033,1.792982211,-0.303759657,-3.371737206,1.447008132,1.699612965,-0.17120673,0.05991638,0.479077572,0.754024352,0.829056665,1.994998447,1.513874551,1.286711568,-8.309411506
United Kingdom,3.137048707,2.335608835,1.747098159,2.841890949,1.705979789,2.251207625,1.941718415,1.566623873,-1.060538311,-4.836486606,1.277032008,0.487316783,0.72754308,1.504018213,2.107964421,1.555182753,0.954371856,1.051454353,0.640926666,0.80056042,-10.29885128
Georgia,3.838100069,6.443911043,6.424463063,11.81131435,6.451674622,10.28800429,10.04357676,13.16775225,2.730182663,-2.790940254,7.027385327,8.264988721,7.155378254,3.933646408,4.382901471,2.860094243,2.844902055,4.828569855,4.883854929,5.162618817,-6.004005115
Ghana,1.190821343,1.483403716,1.973759262,2.645163469,3.00859053,3.267291707,3.716463051,1.68911797,6.37107282,2.211067138,5.249330591,11.31541078,6.733555675,4.847518049,0.525773635,-0.170049052,1.076960496,5.754348551,3.896614301,4.229181257,-1.702517011
Guinea,0.189608638,1.486591648,3.094712681,-0.683348241,0.360763118,0.918509748,-0.96124504,4.452467487,1.773827012,-3.362002836,2.471781262,3.298362323,3.612712137,1.647934006,1.295929288,1.272744537,7.92853485,7.292111815,3.387515218,2.6933842,4.04316299
Greece,3.495563637,3.591652702,3.542622862,5.542361227,4.801378594,0.304568248,5.335601529,3.010984003,-0.599389627,-4.552117473,-5.600777549,-10.01628094,-6.578538058,-2.033969318,1.371147996,0.246412269,-0.075115347,1.481339542,1.7652299,1.964026847,-8.196078341
Guatemala,1.117529149,-0.096568139,1.48038852,0.348007859,0.968363113,1.152934092,3.238219371,4.25714893,1.321659783,-1.395470656,1.01189486,2.28579517,1.16050889,1.888642581,2.653911909,2.346295146,0.989365749,1.415648841,1.681706931,2.258711898,-3.004903397
Guyana,-0.973072906,2.487043655,1.18925012,-0.679299402,1.482317919,-2.006016522,5.104395194,7.170882264,1.55927348,3.752010446,3.542557288,4.975155647,4.913654436,3.121844918,1.141583271,0.154462663,3.27859702,3.218644306,3.932991867,4.84569979,42.78925938
Honduras,4.396736963,0.024209647,1.098739428,1.942219727,3.655901373,3.547847381,4.120046637,3.819035508,1.979591927,-4.464506794,1.652306417,1.837464552,2.200268026,0.947637134,1.250739368,2.04738682,2.123580991,3.083615218,2.128163573,0.98266168,-10.42150115
Croatia,3.881431966,6.996382927,5.615960924,5.605728368,4.125517328,4.174300539,4.968592836,5.090587715,1.905558009,-7.226150399,-1.092473909,0.146805607,-2.092972505,-0.169441845,0.065327718,3.279516762,4.223478737,4.688604235,3.730298166,3.430497562,-7.958640393
Haiti,-0.854830509,-2.013035093,-0.751074571,1.664314386,-2.837703656,1.947535378,0.11688383,3.896273082,0.871694909,4.66931252,-5.267845113,4.567196201,-0.924115994,1.600779521,1.947791782,0.224724405,0.367154616,0.959944659,0.380743939,-2.903169586,-4.555498183
Hungary,4.750944275,4.313090929,5.039960756,4.383084073,5.055229739,4.451147689,4.193132894,0.397591781,1.235394662,-6.55491152,1.350986876,2.226366856,-0.869998385,2.141630859,4.510099905,4.066661995,2.441866879,4.594487546,5.533427038,4.688663954,-4.748350156
