Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,5.643782073,3.813932918,3.644149917,5.197105399,3.156943939,3.303491113,2.480665739,4.389899684,4.117185731,2.422645898,4.493106682,2.314785504,1.04242473,0.288751645,1.549878619,0.563958925,-0.632442859,1.451115725,1.359400395,0.477277009,-0.964778964
Argentina,1.037287101,-1.095767718,30.55520405,10.49570302,18.36335425,10.3175112,13.74105249,14.93992502,23.17116498,15.37764937,20.91512427,23.70347218,22.31488067,23.94879842,40.28297163,26.5799916,41.11937999,26.00637928,40.01216527,50.6225684,39.84085682
Armenia,-1.373675998,4.027969482,2.357399019,4.598515728,6.278594108,3.208756666,4.618012508,4.277875539,5.989562361,2.497253079,7.768715481,4.281549998,5.345804418,3.366824642,2.30918243,1.213909905,0.268575077,2.150641898,2.787709514,1.462713929,1.877457784
Australia,2.579702071,4.620834583,2.860367419,3.113580689,3.31114028,3.797083703,5.092353923,5.011711467,4.525536696,5.001803549,1.167281617,6.252760381,1.85652681,-0.124199304,1.479573108,-0.549659411,-0.533000346,3.734750093,1.885615996,3.398104471,1.968036863
Austria,1.364040914,1.947105394,1.145595667,1.307552579,1.73971885,2.537794158,1.892161069,2.221175867,1.956322281,1.889264178,0.873054962,1.833410245,2.054235685,1.62388807,2.175707237,2.300978667,1.848294698,0.860810509,1.713296752,1.726106861,1.127843912
Azerbaijan,12.49277345,2.515009979,4.214386164,6.961465116,9.251965578,14.72349655,11.32918854,20.58248282,27.97103631,-18.898911,13.82722014,24.60695003,2.844982577,0.413164057,-1.330204423,-8.809615526,14.628339,16.22620457,12.18443296,-0.221986547,-7.572475472
Bulgaria,7.181202287,6.124344019,3.768886511,2.272325531,5.649571384,6.497564076,6.756898399,11.08352259,8.131471791,4.048805756,1.145840251,5.941996946,1.527228466,-0.668632343,0.460887325,2.442392477,2.537512297,3.94290703,4.012248585,5.250219041,3.316993904
Belarus,185.2907607,79.53457254,44.89373887,30.6853215,22.67512245,18.9721606,10.74861564,12.87270229,21.21353617,9.258661838,11.29047473,71.03882161,75.27736917,21.25729561,18.10515612,16.02249378,8.34191705,8.623147404,12.13922998,8.626732645,10.10076264
Bolivia,5.19540791,1.870092796,2.820758433,6.329991141,7.967709974,5.940795568,13.66367938,7.373355353,10.38118272,-2.419895917,8.777508989,14.60235424,7.100275501,5.995388369,2.049497726,-4.620602258,-1.354870581,6.061399962,3.056265753,-0.693003272,-2.671644073
Botswana,14.17096689,8.312825089,1.187370705,3.25908433,10.07878862,15.47170656,7.473131023,4.9276071,4.72939345,6.462525782,8.920001916,13.95807721,0.193793942,2.309144521,11.90410682,1.865033102,11.95352209,2.612490856,1.167155782,0.702609372,-0.613385177
Canada,4.593831662,2.044025945,0.843483727,1.255872329,2.444373551,1.363187307,1.065703303,-1.357274676,3.983738602,-2.311525374,2.849946456,3.23475903,1.211917544,1.737448,1.944598697,-0.876717545,0.75403003,2.56499684,1.756738587,1.672579194,0.832260096
Switzerland,1.356847618,0.975019315,-0.259305173,1.184539187,0.307391006,0.934409474,2.15741403,2.379530052,1.466799841,0.417726606,0.334528999,-0.032862903,-0.003765062,-0.02330848,-0.590356049,-1.204191107,-0.596719888,-0.374816491,0.701912163,-0.065792254,-0.542783325
Costa Rica,9.389713546,9.720937857,9.786886283,10.64823699,13.35034943,13.01332544,12.98431049,10.51678595,11.42378578,9.701330918,6.628844862,4.593225141,4.733633018,4.590211675,6.20692042,3.955215397,1.958764802,2.858883728,2.61426631,2.210583912,0.363924838
Czech Republic,1.842133728,4.889284958,2.724349395,1.292722631,4.049045319,0.09494427,0.654105321,3.540381807,2.009581237,2.587820681,-1.425313992,-0.020571958,1.450921071,1.364704738,2.578536316,0.99227616,1.141450601,1.306944317,2.568094546,3.8660983,4.158326002
Germany,-0.489389005,1.30499491,1.378125824,1.321253524,1.115595867,0.405207332,0.397281155,1.770273207,0.909330422,1.841891638,0.645275771,1.069483745,1.496488838,1.959391683,1.877939854,1.853678824,1.327752223,1.354187955,1.672580166,2.192462941,1.587246061
Djibouti,,,,,,,,,,,,,,,1.262304414,1.893052048,0.447088262,0.26358885,1.006632837,2.393112338,1.291335181
Denmark,3.017974288,2.518414226,2.347647464,1.481829809,2.095733093,2.906424049,2.076179572,2.432280585,4.134692969,0.529022254,3.224072874,0.638643468,2.375183628,0.888170882,1.032108578,0.433060802,0.254595167,1.184661612,0.575137384,0.743328408,2.311053648
