Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,22.1025,19.65416667,15.30416667,14.27083333,11.76152183,13.075,12.93994286,14.09962279,13.01964271,12.66093515,12.82232989,12.4320986,10.88034654,9.826604344,7.9725,7.8775,6.734166667,6.22,5.9325,6.275833333,6.120833333
Argentina,,,,,,,,,,,10.5575,14.0875,14.06083333,17.14916667,24.00916667,24.91583333,31.2325,26.58083333,48.51666667,67.25416667,29.3875
Armenia,31.56600039,26.6875,21.13698193,20.82905443,18.63328512,17.98427289,16.52510371,17.51568537,17.04948273,18.76447059,19.20042831,17.75447379,17.23006824,15.99498737,16.40866526,17.59033032,17.35670611,14.40600168,12.79304193,12.14198895,11.61984251
Australia,7.716666667,6.841666667,6.3625,6.6125,7.05,7.258333333,7.6125,8.195833333,8.908333333,6.020833333,7.279166667,7.7375,6.975,6.179166667,5.95,5.575,5.420833333,5.2455,5.260833333,5.101,
Austria,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,19.65583333,19.70583333,17.37083333,15.45666667,15.72,17.02833333,17.86333333,19.13083333,19.7625,20.02916667,20.7,18.98833333,18.34583333,18.21,17.8575,17.53416667,16.37522672,16.5425,17.44833333,17.28121517,17.17820122
Bulgaria,11.34338333,11.11076667,9.207841667,8.543366667,8.871325,8.660983333,8.892525,9.997766667,10.861425,11.335,11.14436667,10.62945833,9.714208333,9.043408333,8.262641667,7.448866667,6.393016667,5.439558333,4.963225,4.549208333,4.336633333
Belarus,67.66666667,46.96666667,36.88333333,23.975,16.90833333,11.35833333,8.841666667,8.575,8.55,11.675,9.216666667,13.575,19.49166667,19.13333333,18.74166667,18.08333333,14.4,9.658712416,8.695833333,9.023333333,9.0325
Bolivia,34.59583333,20.05706122,20.63245674,17.66328905,14.46988333,16.61504167,11.89128333,12.86080833,13.87333333,12.359625,9.909927149,10.91539234,11.13494786,11.05139928,9.694228216,8.073253797,7.952026061,8.109892032,8.037242527,8.39953171,7.592223722
Botswana,15.47916667,15.75,16.20833333,16.4,15.75,15.7375,16.45833333,16.215,16.54166667,13.755625,11.45833333,11,11,10.18923333,9,7.95,7.3,6.875,6.5,6.395833333,5.75
Canada,7.270833333,5.8125,4.208333333,4.6875,4,4.416666667,5.8125,6.104166667,4.729166667,2.395833333,2.604166667,3,3,3,3,2.775,2.7,2.7,,,
Switzerland,,,,,,,,,3.3425,2.750833333,2.733333333,2.718333333,2.688333333,2.689166667,2.69,2.680833333,2.646666667,2.627438678,2.627425593,2.63292318,2.634846704
Costa Rica,24.88916667,23.83276944,26.41666667,25.58333333,23.42555556,24.65583333,22.18833333,12.79833333,15.8275,19.72333333,17.09083333,16.14583333,18.2125,15.18833333,14.90305556,14.23333333,11.63861111,11.36513889,11.12329088,8.74614961,6.638082376
Czech Republic,7.16225,7.196416667,6.724166667,5.949166667,6.0275,5.776666667,5.593666022,5.788379584,6.251708333,5.989958333,5.887833333,5.717833333,5.406723237,4.969893014,4.644905464,4.282533329,3.907246276,3.589743643,3.541615877,3.686032183,3.344307043
Germany,,,,,,,,,,,,,,,,,,,,,
Djibouti,,,,,,,,,,,,,,,,,,,,,
Denmark,,,,,,,,,,,,,,,,,,,,,
Dominican Republic,26.79916667,24.26333333,26.055,31.39166667,32.63416667,24.10916667,19.475,15.82666667,19.945,18.13583333,12.13666667,15.55,15.4825,13.59140054,13.9025,14.87666667,15.08416667,15.41416667,,,
Ecuador,,,,,,,,,,,,,,,,,,,,,
Spain,,,,,,,,,,,,,,,,,,,,,
Estonia,,,,,,,,,,,,,,,,,,,,,
Finland,,,,,,,,,,,,,,,,,,,,,
France,,,,,,,,,,,,,,,,,,,,,
United Kingdom,5.963891667,5.122375,4,3.695791667,4.379816667,4.648675,4.638258333,5.508708333,4.675308333,0.644866667,0.5,0.5,0.5,0.5,0.5,,,,,,
Georgia,,,,23.755375,22.087125,17.55089167,17.06025833,17.08611667,18.04413333,17.86631667,15.845075,14.99516667,14.80845,13.5948916,11.90971177,12.48847546,12.62091667,11.48538333,11.11939167,10.8164,11.8008
Ghana,,,,,,,,,,,,,,,,,,,,,
Guinea,19.375,12.875,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,
Guatemala,20.88166667,18.9575,16.86416667,14.97833333,13.81083333,13.03333333,12.7625,12.83666667,13.39166667,13.84916667,13.34166667,13.43,13.48666667,13.5975,13.77333333,13.2275,13.10166667,13.05416667,12.92333333,12.74083333,12.52583333
Guyana,17.30166667,17.0075,16.325,14.99190476,14.54166667,14.54083333,14.54097222,14.61083333,14.5825,14.54140833,14.5417,14.45140278,13.86111111,13.5,12.83333333,12.83333056,13,13,13,10.47916667,9.465277778
Honduras,26.82416667,23.76416667,22.69142781,20.80413361,19.87640018,18.83108333,17.43666667,16.605,17.93666667,19.445,18.86466417,18.55753167,18.45069917,20.08086667,20.61221833,20.65756667,19.33193917,19.25869333,17.80416667,17.33916667,17.00916667
Croatia,12.07333333,9.549166667,12.84,11.57666667,11.74523333,11.19111667,9.933333333,9.330833333,10.06916667,11.55416667,10.37666667,9.684166667,9.480833333,9.246666667,8.58,,,,,,
Haiti,16.49375,17.85,17.9375,23.209375,25.2,23.2,26.36666667,23.08333333,17.81083333,17.32916667,17.48166667,11.61,8.934166667,8.7225,10.77333333,12.92333333,13.2325,12.74916667,13.1025,14.12166667,
Hungary,12.6,12.11666667,10.1688765,9.603423915,12.82452602,8.540945327,8.079414988,9.085947496,10.18166774,11.03686222,7.586925113,8.320381666,9.001544511,6.303912354,4.447534327,2.90249069,2.089071112,1.481143422,1.470967593,1.792433788,1.952404445
