Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Albania,62.44,61.32,60.56,59.53,58.48,57.46,56.58,55.79,55.04,54.52,54.27,60.13,57.06,53.12,53.3,55.61,56.61,57.1,59.33,60.32,59.72
Argentina,61.85,61.7,61.14,61.71,62.29,61.95,62.23,61.47,60.71,61.06,60.4,60.63,60.5,60.22,59.69,60.02,60.31,60.59,61.39,61.61,55.97
Armenia,53,52.7,52.39,52.12,51.98,52.02,52.18,52.5,52.58,53.7,56.28,57.65,57.96,58.21,57.53,56.86,55.73,55.43,53.17,52.93,50.11
Australia,63.37,63.56,63.62,63.8,63.65,64.56,64.91,65.37,65.67,65.59,65.6,65.63,65.33,65.1,64.86,65.15,64.99,65.23,65.65,65.93,64.89
Austria,58.51,57.95,58.84,58.75,56.81,58.11,58.5,59.38,59.66,59.98,59.96,60.02,60.29,60.43,60.16,60.1,60.51,60.52,60.73,60.78,59.91
Azerbaijan,77.14,75.15,73.24,71.43,69.59,68.4,66.98,66.18,65.15,64.77,64.56,64.15,64.27,64.54,65.05,65.52,66.26,66.59,66.84,66.5,63.13
Bulgaria,49.88,51.64,51.16,50.27,51.07,50.38,52.32,53.79,55.13,54.33,53.4,52.53,53.07,53.86,54.15,54.18,53.45,55.46,55.46,56.75,54.8
Belarus,59.09,59.39,59.71,60.06,60.43,60.86,61.22,61.65,62.12,62.59,63.02,63.36,63.67,63.93,64.12,64.26,64.37,64.43,64.53,64.06,63.12
Bolivia,70.79,71.19,71.58,71.96,72.32,72.67,73.02,71.88,72.19,72.11,72.01,71.84,68.93,69.3,71.28,67.04,67.69,69.06,71.96,72.1,66.66
Botswana,58.4,58.71,59.04,59.36,59.65,59.9,60.13,61.13,62.06,62.96,60.07,64.25,67.79,70.81,70.82,70.89,70.84,70.78,70.66,70.55,69.39
Canada,65.27,65.37,66.33,67.06,67,66.67,66.58,67.06,67.23,66.78,66.62,66.41,66.25,66.22,65.76,65.61,65.49,65.59,65.26,65.57,63.91
Switzerland,67.41,67.79,67.74,67.83,67.29,67.03,67.42,67.72,68.24,68.28,66.95,67.46,67.53,67.56,67.97,68.21,68.57,68.38,68.38,68.07,67.52
Costa Rica,59.51,61.74,61.37,61.41,60.28,62.45,62.11,62.95,62.62,62.03,60.84,60.18,63.87,63.39,63.06,61.95,59.37,60.2,62.18,64.47,60.62
Czech Republic,60.13,59.74,59.62,59.37,59.13,59.5,59.32,58.86,58.49,58.6,58.35,58.23,58.66,59.35,59.44,59.62,60.14,60.46,60.77,60.5,59.67
Germany,58.06,57.96,57.85,57.9,57.59,58.45,58.84,59.19,59.21,59.35,59.43,60,59.94,60.24,60.24,60.08,60.32,60.51,60.83,61.25,60.57
Djibouti,62.17,61.95,61.61,61.21,60.87,60.63,60.5,60.5,60.57,60.71,60.81,60.76,60.72,60.67,60.58,60.48,60.43,60.37,60.25,60.15,58.72
Denmark,65.77,65.41,66.1,65.52,66.01,65.86,66.26,65.85,65.15,64.39,63.5,63.05,62.3,61.37,61.15,61.12,61.4,61.49,61.62,62.21,61.91
Dominican Republic,59.53,58.37,58.9,57.8,57.74,57.54,58.77,58.39,58.76,56.56,58.08,59.7,60.49,60.78,61.08,63.73,64.11,64.15,65.71,66.97,61.73
Ecuador,67.52,67.17,66.8,66.41,68.75,68.17,69.47,68,68.14,66.22,65.11,64.34,64.94,64.3,64.07,66.48,68.41,69.07,68.03,67.83,62.6
