Year,Albania,Argentina,Armenia,Australia,Austria,Azerbaijan,Bahamas,Belarus,Bolivia,Bosnia and Herzegovina,Botswana,Bulgaria,Cambodia,Canada,Cape Verde,Costa Rica,Croatia,Czech Republic,Denmark,Djibouti,Dominican Republic,Ecuador,Egypt,El Salvador,Estonia,Finland,France,Gambia,Georgia,Germany,Ghana,Greece,Guatemala,Guinea,Guinea Bissau,Guyana,Haiti,Honduras,Hungary,Iceland,Indonesia,Ireland,Italy,Jamaica,Japan,Jordan,Kenya,Kyrgyzstan,Latvia,Lebanon,Lesotho,Lithuania,Macedonia,Malawi,Malaysia,Mauritania,Mauritius,Mexico,Mongolia,Morocco,Netherlands,New Zealand,Nicaragua,Norway,Pakistan,Panama,Paraguay,Peru,Philippines,Poland,Portugal,Romania,Sierra Leone,Singapore,Slovakia,Slovenia,South Africa,South Korea,Spain,Swaziland,Sweden,Switzerland,Tajikistan,Thailand,Trinidad and Tobago,Tunisia,Turkey,Turkmenistan,Uganda,Ukraine,United Kingdom,Uruguay,Venezuela,Vietnam,Yemen,Zambia
2000,0.047442761,0.000158407,0.010444194,0.121188689,0.151106171,0.084577215,,1.905642023,0.063343867,,0.107163675,0.152051419,0.008452356,0.002733947,0.148216424,0.080200839,0.154932987,0.110776849,0.152972055,0.029735058,0.001216805,1.083764593,0.039649469,0.001076824,0.151106171,0.151106171,0.151106171,0.145346181,-0.014778182,0.151106171,1.069396734,0.151106171,0.053386476,0.267518357,0.151261364,0.075642364,0.258183463,0.03993383,0.186409717,0.090831772,0.095087757,0.151106171,0.151106171,0.082509419,-0.041318292,0.000986483,0.077529026,0.211433925,0.151106171,0.005619221,0.140230505,0.151106171,0.14543368,0.378305051,-4.39E-06,0.139916485,0.044875612,-0.010404955,0.072424843,0.083477413,0.151106171,0.171049683,0.040589735,0.12788324,0.058950296,0,0.115739522,0.027213738,0.141730961,0.088416895,0.151106171,0.414272331,,0.019872759,0.151106171,0.151106171,0.140230505,-0.03931513,0.151106171,0.140230505,0.110676411,0.118326858,0.045403751,0.068754884,0.007419052,0.153100247,0.464969758,0,0.132294021,0.29604955,0.069534909,0.067990384,0.118836535,0.018232718,0.083647473,0.360799654
2001,-0.00362097,0.000125039,0.028388766,0.121351597,0.031557006,0.040878573,,0.87311684,0.074011887,0.008033479,0.145872819,0.032829683,0.00169576,0.044341967,0.009238051,0.072258023,0.009844539,-0.015618268,0.031509063,0,0.018970571,8.33E-05,0.146171247,0.001427546,0.031557006,0.031557006,0.031557006,0.235969993,0.045967152,0.031557006,0.279475792,0.031557006,0.011579827,0.134016591,0.031956745,0.00032343,0.131847696,0.044288258,0.013064021,0.247961226,0.204524798,0.031557006,0.031557006,0.081043394,0.129427961,-0.000797794,0.027335621,0.015640271,0.031557006,0.000730813,0.252185489,0.031557006,0.040200523,0.179491399,1.32E-05,0.060976649,0.109753202,-0.01549586,0.018034802,0.068923877,0.031557006,0.07909242,0.091593299,0.021382946,0.140672877,0,0.189295506,0.004637966,0.140340263,-0.062299995,0.031557006,0.330987702,,0.039130141,0.031557006,0.031557006,0.252185489,0.13257351,0.031557006,0.252185489,0.130793613,0.001029932,-0.998171996,0.099787861,-0.012635799,0.051638211,0.984504228,0,0.060652856,-0.01811245,0.048669393,0.10299323,0.064882976,0.044888967,0.050182218,0.072673157
2002,-0.02168306,2.196836087,0.035920548,-0.058583589,-0.058523757,0.042918148,,0.284599345,0.086372503,-0.06000641,0.067005073,-0.058627371,-0.000659543,0.011178856,-0.013327186,0.094911495,-0.066200094,-0.146519883,-0.060808924,0,0.098640936,0,0.137891711,-0.000285673,-0.058523757,-0.058523757,-0.058523757,0.220011268,0.060521596,-0.058523757,0.095017526,-0.058523757,-0.005757078,0.024422031,-0.058385945,-0.006189376,0.197965083,0.064060663,-0.10784581,-0.079683226,-0.097587888,-0.058523757,-0.058523757,0.057646367,0.019331994,-0.002360069,0.000604492,-0.03131318,-0.058523757,0.000496039,0.182771052,-0.058523757,-0.060166813,0.071487531,5.48E-05,0.071013224,0.024050669,0.046854284,0.006125479,-0.034779304,-0.058523757,-0.103261588,0.06500689,-0.122274648,-0.03953277,0,0.392466673,0.003855846,0.012659984,-0.001447125,-0.058523757,0.131523041,,-0.005163463,-0.058523757,-0.058523757,0.182771052,-0.038572719,-0.058523757,0.182771052,-0.075496324,-0.086016688,0.158889662,-0.034205401,-0.005489292,-0.018812012,0.220441831,0,0.026692392,-0.007154682,-0.044298861,0.606633225,0.650383538,0.030748731,0.050616487,0.244811839
2003,-0.145245571,-0.075035849,0.005079445,-0.170281882,-0.169133776,0.003255153,,0.143725072,0.063649256,-0.165052406,-0.21536847,-0.168424373,0.001804196,-0.11412801,-0.086269249,0.10829811,-0.150672315,-0.137596042,-0.169190061,0,0.683974374,0,0.287460079,-0.000542935,-0.169133776,-0.169133776,-0.169133776,0.372090094,-0.023014513,-0.169133776,0.075433655,-0.169133776,0.020292879,0.003879151,-0.168656229,-0.00376464,0.357251957,0.053094776,-0.127859344,-0.163312111,-0.076394695,-0.169133776,-0.169133776,0.185739599,-0.071572675,0.001471177,-0.033258789,-0.064301242,-0.169133776,-0.001335886,-0.283230228,-0.169133776,-0.165280227,0.266741895,-1.10E-05,-0.032621618,-0.065275534,0.111061546,0.014953399,-0.133054649,-0.169133776,-0.205736488,0.053617867,-0.10877494,-0.028521761,0,0.116310507,-0.012205114,0.051647953,-0.044343333,-0.169133776,0.000698729,,-0.024720201,-0.169133776,-0.169133776,-0.283230228,-0.038762567,-0.169133776,-0.283230228,-0.166940602,-0.13658153,0.107707186,-0.035011586,0.005841227,-0.095411011,-0.019478107,-0.005833333,0.088136414,0.002214898,-0.083225572,0.322641637,0.356772102,0.01588938,0.013928712,0.067381815
2004,-0.149569569,-0.004642444,-0.08359996,-0.111346847,-0.086553529,0.008213938,,0.05352581,0.037803825,-0.08414282,-0.049013952,-0.085998969,0.004766538,-0.067567,-0.085163972,0.098918943,-0.097001207,-0.086742225,-0.085503664,0,0.319575677,0,0.039475872,0.00068142,-0.086553529,-0.086553529,-0.086553529,0.089650425,-0.108293565,-0.086553529,0.041362648,-0.086553529,-0.002081709,0.179766627,-0.087025697,0.00209937,-0.099561506,0.050992342,-0.102773429,-0.081268365,0.049957168,-0.086553529,-0.086553529,0.055421579,-0.07184487,2.35E-05,0.042526833,-0.033350415,-0.086553529,0.00239402,-0.138960119,-0.086553529,-0.062058759,0.115993422,0,-0.023361894,-0.011907246,0.043757528,0.06029038,-0.071965226,-0.086553529,-0.120540923,0.056041036,-0.048496802,0.012774723,0,-0.072734307,-0.019502407,0.032585119,-0.069759632,-0.086553529,-0.019759232,,-0.032681614,-0.086553529,-0.086553529,-0.138960119,-0.04601599,-0.086553529,-0.138960119,-0.087925359,-0.073441711,0.002467395,-0.029269038,0.007064696,-0.03136692,-0.046817972,-0.004191115,-0.07856996,-0.003216679,-0.10595437,0.00309366,0.163724756,0.014341479,0.031992153,-0.007108984
2005,-0.020171971,-0.00509171,-0.143948417,-0.029492481,0.008753964,-0.039219173,,-0.004426312,0.014268859,0.006784196,0.111850134,0.010427917,0.063138453,-0.067028543,-0.101668535,0.089840494,-0.006175082,-0.058291969,0.010587749,0,-0.254872359,-0.204488333,-0.066866273,-0.000342859,0.008753964,0.008753964,0.008753964,-0.040828361,-0.051540802,0.008753964,0.007971788,0.008753964,-0.040547429,0.555862721,0.008815087,0.0358473,0.116298116,0.032815356,0.287456895,-0.102873783,0.086055999,0.008753964,0.008753964,0.023536756,0.031280282,-0.000622848,-0.049352206,-0.033026295,0.008753964,-0.004011688,-0.002066394,0.008753964,-0.005961986,0.090190728,-0.003870614,0.025559863,0.066920049,-0.040483909,0.013004311,0.007524447,0.008753964,-0.0520417,0.034312438,-0.036609722,0.018854482,0,0.030075449,-0.03137951,-0.020664776,-0.102906518,0.008753964,-0.09896586,,-0.012159918,0.008753964,0.008753964,-0.002066394,-0.101761913,0.008753964,-0.002066394,0.028580146,0.011694528,0.014435248,0.002575074,0.0120296,0.047745821,-0.056992032,0.008417508,-0.015513346,-0.042468473,0.015011105,-0.143433458,0.115258853,0.007405486,-0.001578107,-0.079468574
2006,-0.027491266,0.051154914,-0.092129181,0.003968984,-0.021911427,-0.054271082,,-0.004716616,-0.007682922,-0.021006343,0.130933624,-0.02240979,0.005151325,-0.065150554,-0.023160047,0.068669662,-0.031054696,-0.072669474,-0.021112678,0,0.119284126,0.257052589,-0.007613142,0.000576391,-0.021911427,-0.021911427,-0.021911427,-0.012910403,-0.019924029,-0.021911427,0.015117756,-0.021911427,-0.002534939,0.384199987,-0.021757169,0.083550562,-0.008507704,0.003363129,-0.191239778,0.117437344,-0.064280958,-0.021911427,-0.021911427,0.059040368,0.047711043,8.23E-05,-0.045299174,-0.025627942,-0.021911427,-0.000842588,0.070370143,-0.021911427,-0.01772411,0.15653514,-0.03348487,0.024285728,0.067741023,0.005912011,-0.022214533,-0.017838277,-0.021911427,0.078603259,0.060069092,-0.016374644,0.012362685,0,-0.090224803,-0.010450349,-0.069828253,-0.051919326,-0.021911427,-0.0518524,,-0.050329257,-0.021911427,-0.021911427,0.070370143,-0.070387912,-0.021911427,0.070370143,-0.028374878,-0.005157452,0.058156494,-0.067481939,0.003100276,0.017095166,0.070231232,0.001669449,0.025812932,-0.011201248,-0.023662567,-0.01460701,0.018164289,0.008459748,0.076464729,-0.161509901
2007,-0.077723132,0.013601519,-0.177466049,-0.100139565,-0.082085542,-0.038409201,,0.001087632,-0.022753087,-0.081729708,0.044830791,-0.081508771,-0.018088893,-0.056189303,-0.083976171,0.005899374,-0.079554733,-0.09869694,-0.083049729,0,-0.002413516,0,-0.018194515,0,-0.082085542,-0.082085542,-0.082085542,-0.116230444,-0.06017347,-0.082085542,0.022710782,-0.082085542,0.012207177,-0.106486818,-0.083016007,0.011572442,-0.066404379,7.94E-05,-0.125322704,-0.097071429,0.003074481,-0.082085542,-0.082085542,0.048964636,0.011034819,-0.000611427,-0.06553578,-0.070963658,-0.082085542,0.003442317,0.030542967,-0.082085542,-0.084706811,0.023268494,-0.063638745,-0.03547426,-0.017158291,0.001504054,-0.005945219,-0.068221617,-0.082085542,-0.118436197,0.062954319,-0.086746657,0.007449285,0,-0.104070048,-0.043801448,-0.102885313,-0.110003623,-0.082085542,-0.128952246,,-0.050351448,-0.082085542,-0.082085542,0.030542967,-0.023914806,-0.082085542,0.030542967,-0.081106852,-0.041433378,0.041444406,-0.082984061,0.001268351,-0.038391835,-0.101176443,0,-0.0615262,-0.000754107,-0.076201369,-0.029716344,0,0.005241685,0.008518406,0.086687482
2008,-0.066773009,0.020330199,-0.099261855,0.008547848,-0.058236044,-0.044867259,,-0.00496663,-0.077658174,-0.063314526,0.116381917,-0.058635532,0.001631488,0.00493777,-0.056767595,0.024660516,-0.073296504,-0.15088451,-0.057798437,0,0.043523185,0,-0.035605334,0,-0.058236044,-0.058236044,-0.058236044,-0.09743779,-0.104905184,-0.058236044,0.167541681,-0.058236044,-0.011849919,0.022547928,-0.057606968,0.00619157,0.061341398,-2.65E-05,-0.061525759,0.434314268,0.069850567,-0.058236044,-0.058236044,0.061243205,-0.124997339,5.88E-05,0.04005059,-0.008243875,-0.058236044,-0.003141188,0.175630056,-0.058236044,-0.058832575,0.003251441,-0.026566217,-0.06759795,-0.080850261,0.025598374,0.000245639,-0.048273549,-0.058236044,0.059706732,0.050076578,-0.023194039,0.169293591,0,-0.13698857,-0.059285364,-0.026013094,-0.120547363,-0.058236044,0.046707733,,-0.061687843,-0.058236044,-0.058236044,0.175630056,0.192351209,-0.058236044,0.175630056,-0.013034816,-0.098116526,-0.004599375,-0.032365702,-0.005452163,-0.030206854,0.011239141,1.227564103,0.009507124,0.078926507,0.102916325,-0.099803677,0,0.02895884,0.002371376,-0.044352732
2009,0.136542513,0.177909565,0.193963821,0.063148006,0.051378629,-0.019768221,,0.31215879,-0.024263977,0.056154236,0.03684328,0.050726037,0.02323643,0.061037901,0.060990306,0.08680441,0.068547175,0.11727382,0.050288529,0,0.044122974,0,0.021851698,-0.000404669,0.051378629,0.051378629,0.051378629,0.183324038,0.121147567,0.051378629,0.311601799,0.051378629,0.073568243,0.083046007,0.049970283,-0.000366763,0.026450381,-0.000163174,0.182858421,0.358158604,0.057145772,0.051378629,0.051378629,0.210682206,-0.088547538,-0.0008,0.102303345,0.165515526,0.051378629,-0.003054342,0.005942949,0.051378629,0.055351984,0.004998982,0.056279285,0.077719278,0.120258229,0.213272908,0.23612427,0.042578359,0.051378629,0.112952717,0.049947769,0.102306199,0.153375334,0,0.144289827,0.022635945,0.069731355,0.295700949,0.051378629,0.203100122,,0.030790246,0.051378629,0.051378629,0.005942949,0.150233837,0.051378629,0.005942949,0.148109208,0.005431797,0.218029926,0.027664384,0.005895967,0.093260997,0.189591884,0.230215827,0.167271591,0.487006901,0.161852605,0.064721044,0,0.080134599,0.019087048,0.325064232
