Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Argentina,3.665790595,0.806164135,2.198958195,1.294810869,2.505017516,2.649354415,2.381068545,2.251294236,2.689900965,1.206439226,2.675161719,2.04464008,2.8066719,1.779205536,0.96240665,1.977134618,0.584749932,1.789364285,2.293710246,1.495820911
Australia,3.586745269,2.832402344,3.713762123,1.926147053,7.005444173,-3.618814635,4.09502424,5.209249708,4.28465048,3.091518205,3.072118666,4.693723914,3.722171874,3.42582358,4.306383954,3.469188226,3.554585928,3.557204406,4.293915221,2.8568225
Bolivia,8.768250434,8.668583324,8.557893431,2.442354474,0.74577261,-2.498880031,2.451682367,2.791837867,3.072601838,2.43967815,3.165443564,3.584442149,3.913550146,5.706622119,1.989824856,1.68072788,0.988080149,1.899493281,0.750524781,-0.529735011
Canada,9.171024287,3.841921293,3.219147678,0.782967555,0.141465896,2.178163809,4.87410129,8.200559049,4.515137142,1.524131181,1.837256387,2.137833108,2.700169009,3.629803984,3.55390337,3.853894537,2.238350121,1.53752072,2.506586797,2.588902574
Dominican Republic,4.069001453,4.249316338,3.41225133,2.880554899,4.186289081,3.125980875,4.03565272,5.124254462,5.669691569,3.512771866,3.379491398,3.786850662,5.629224568,2.552400718,3.550614845,3.129776532,3.323570834,4.497488808,3.207863799,3.180974427
Egypt,,,,,,,,,,,,,,,,,,,,
Greece,-0.006297723,0.001469452,0.022219552,0.697334055,0.893030376,0.277857743,1.979894692,0.614485752,1.61751241,0.83827113,0.179536227,0.386444592,0.686662299,1.234997432,1.146362591,0.649678239,1.400150454,1.722745965,1.897488403,2.434966028
Guatemala,-4.088377139,-5.088204498,-4.974498761,0.09032397,1.363176393,2.016163383,2.13586652,2.559590593,1.899515052,1.346285648,2.710316822,1.870378116,2.82256117,2.872156333,2.433011043,1.935084214,1.280452479,1.393282437,1.259958631,1.518212035
Ireland,25.81267276,8.839365579,22.91877918,13.86907433,-5.4698898,22.20143476,9.513630404,22.21297351,8.47380121,22.88219384,16.99835833,9.972604339,25.81975229,29.69222984,37.61245308,81.31815515,34.35603496,17.22311899,17.45271328,-11.69954136
Italy,1.151655738,1.27488632,1.356669002,1.243397304,1.114709532,1.979089739,2.925966858,2.984923085,-0.396087837,0.757889695,0.465342941,1.503735448,0.001672245,0.912122176,0.788869272,0.724627962,1.367773669,0.56917281,2.116080228,1.555439504
Japan,0.218682871,0.114464574,0.280851696,0.197305674,0.156338846,0.114808557,-0.052907509,0.479068377,0.488791043,0.233713959,0.130541249,-0.013816039,0.008817409,0.206536579,0.407228152,0.119654803,0.831972862,0.38633193,0.510400704,0.78842792
Jordan,10.79447161,3.048547532,2.48603227,5.364709274,8.209450192,15.76406349,23.53737248,15.32469173,12.47588762,9.834178745,6.22247567,5.033358727,4.894806887,5.649771687,5.912048902,4.147202292,3.892851429,4.901640293,2.224278094,1.854919642
Lebanon,5.75581692,8.237549526,6.975529146,14.24105903,8.973516095,12.20384959,12.14443813,13.5978269,14.88051772,13.56965891,11.13279363,7.856939895,7.065391006,5.672830621,5.946899255,4.323822553,5.016070552,4.746667966,4.82871161,4.276210783
Mexico,2.596709943,3.972481833,3.11551958,2.498643439,3.185216164,2.965112808,2.269883171,2.955211371,2.683152884,2.18394169,2.881186412,2.019101117,1.515580662,3.985350844,2.175849619,3.049621321,3.595753115,2.848948224,3.07956465,2.315089271
