Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Argentina,,,,,,,,,,,-8.56602872,-7.773405236,-6.748195554,-5.485839182,-11.60069877,-1.314708785,-7.006039843,0.455892832,6.074116047,11.04190325,-7.475180756
Australia,5.007778821,2.122743613,3.404744382,3.393267199,3.619028606,3.334630904,2.398029907,3.032158815,4.193039114,0.970487887,6.041365303,1.39736569,5.025179388,6.311204443,4.405248027,6.158510242,5.985737682,1.456358555,3.312751563,1.64693109,
Bolivia,27.94839243,17.85309891,17.32305673,10.65860891,6.022331455,10.07567108,-1.559333693,5.110628203,3.163719152,15.1460393,1.041040717,-3.217178149,3.767191392,4.770029141,7.491198547,13.3088029,9.434724955,1.931420923,4.833259518,9.155986266,10.54560893
Canada,2.559425951,3.692988413,3.336705042,3.389065338,1.51850843,3.012414507,4.696743348,7.564107052,0.716869844,4.818745226,-0.238969292,-0.227403088,1.76667185,1.240990437,1.035269466,3.684015959,1.931406584,0.131626934,,,
Dominican Republic,18.27424,17.18452238,17.89582066,-1.550914208,-8.632955797,17.32624119,12.03451371,7.608970501,8.654014357,14.14294579,6.347720679,6.930587162,9.880588134,8.499705584,9.184329642,12.10554541,12.8346074,10.78195755,,,
Egypt,,,,,,,,,,,,,,,,,,,,,
Greece,,,,,,,,,,,,,,,,,,,,,
Guatemala,13.15317508,26.0278452,9.763381368,10.05740833,7.344549242,6.969818057,7.411952972,5.341266302,3.641592342,9.892832099,7.803198652,6.113829832,9.778618455,9.906354068,10.60955538,10.75584871,10.12049423,11.11202392,11.59577552,8.738593656,9.62601894
Ireland,,,,,,,,,,,,,,,,,,,,,
Italy,5.138245886,4.128903875,3.158738554,2.600677732,2.762226465,3.23826981,3.424166712,3.762434675,4.332593826,3.027009099,3.579685793,2.944663726,3.619198647,3.951211997,3.917647828,3.167866234,2.335325877,2.258088639,1.600844671,1.784217766,1.118280236
Japan,3.499271106,3.108264873,3.372381681,3.495587467,2.899232098,2.74280614,2.570922086,2.631929162,2.919028021,2.348964468,3.560983326,3.229311638,2.185700285,1.642399108,-0.517122124,-0.981506242,0.772258359,1.225590484,,,
Jordan,12.25729913,10.07801999,9.17163594,6.99812319,5.009879792,5.489905916,-2.235537157,3.452125036,-11.79707235,5.898580861,0.875955637,2.646406244,3.9901971,2.700469426,5.360006858,6.172976266,6.662253029,6.60338106,6.833606842,6.879444474,7.763264038
Lebanon,20.67041118,19.00416046,11.11435384,11.66594611,12.19354397,11.82784324,9.297376922,6.906533194,2.260586371,-0.649418007,7.713429522,4.431035601,-0.287454011,4.613391561,7.116951404,3.438827488,7.288773638,5.236714264,3.449144697,5.736751232,
Mexico,5.19659251,6.368742912,2.566237995,2.867224184,-0.484780798,3.609083841,1.0551937,1.674815923,2.385980831,2.998948719,0.703697863,-0.880588209,0.590881552,2.699802797,-0.850301498,0.587426403,-0.805935902,0.580805783,2.952779276,4.292181946,3.154524994
Netherlands,1.325944635,0.782402683,0.180968513,0.812095934,1.527566877,0.766842868,0.956074205,2.480558658,2.246040171,1.758750133,0.802043739,1.802856644,0.176340359,0.217232399,,,,,,,
Nicaragua,8.821366162,10.54772817,14.57340721,9.700975339,4.071982813,2.033608238,3.437427913,3.069506759,-2.608055298,7.55378259,6.76486081,0.293692926,5.413500857,10.19228459,4.746631711,4.150111496,6.547017667,6.393370083,8.023972323,6.583080299,5.019004689
Pakistan,,,,,-0.068118194,1.142345815,1.94234451,4.189272918,-0.236896632,-5.079301224,2.879795804,-4.367503613,7.125312698,4.692979943,4.020467658,5.806906383,8.321458917,4.034694907,5.925814506,3.325561863,1.321973008
