Country Name,Year,TerrIdx
Yemen,2019,7.581
Pakistan,2019,7.541
Philippines,2019,7.099
Egypt,2019,6.419
Turkey,2019,6.11
Thailand,2019,5.783
Kenya,2019,5.644
United States,2019,5.26
United Kingdom,2019,5.161
Ukraine,2019,4.692
Indonesia,2019,4.629
France,2019,4.614
South Africa,2019,4.358
New Zealand,2019,4.337
Mexico,2019,4.316
Greece,2019,4.182
Tajikistan,2019,4.18
Germany,2019,3.965
Tunisia,2019,3.858
Lebanon,2019,3.661
Venezuela,2019,3.658
Uganda,2019,3.278
Canada,2019,3.171
Jordan,2019,3.149
Italy,2019,3.043
Sweden,2019,2.892
Ireland,2019,2.845
Spain,2019,2.81
Bolivia,2019,2.795
Netherlands,2019,2.689
Ecuador,2019,2.606
Paraguay,2019,2.414
Haiti,2019,2.355
Nicaragua,2019,2.355
Australia,2019,2.148
Peru,2019,2.141
Malaysia,2019,2.09
Honduras,2019,2.023
Japan,2019,2.014
Ghana,2019,1.743
Finland,2019,1.721
Malawi,2019,1.635
Denmark,2019,1.484
Norway,2019,1.297
Costa Rica,2019,1.066
Argentina,2019,1.024
Austria,2019,1.016
Albania,2019,0.677
Guatemala,2019,0.663
South Korea,2019,0.656
Georgia,2019,0.635
Morocco,2019,0.565
Hungary,2019,0.551
Armenia,2019,0.53
Guyana,2019,0.477
Vietnam,2019,0.42
Guinea,2019,0.41
Czech Republic,2019,0.315
Azerbaijan,2019,0.296
Switzerland,2019,0.286
Poland,2019,0.239
Jamaica,2019,0.229
Lithuania,2019,0.229
Sierra Leone,2019,0.229
Bulgaria,2019,0.172
Trinidad and Tobago,2019,0.162
Zambia,2019,0.153
Latvia,2019,0.115
Uruguay,2019,0.086
Estonia,2019,0.057
Lesotho,2019,0.048
Djibouti,2019,0.038
Panama,2019,0.019
Belarus,2019,0
Botswana,2019,0
Cambodia,2019,0
Croatia,2019,0
Dominican Republic,2019,0
El Salvador,2019,0
Iceland,2019,0
Mauritania,2019,0
Mauritius,2019,0
Portugal,2019,0
Romania,2019,0
Singapore,2019,0
Slovenia,2019,0
Gambia,2019,0
Turkmenistan,2019,0
Yemen,2018,7.581
Pakistan,2018,7.541
Philippines,2018,7.099
Egypt,2018,6.419
Turkey,2018,6.11
Thailand,2018,5.783
Kenya,2018,5.644
United States,2018,5.26
United Kingdom,2018,5.161
Ukraine,2018,4.692
Indonesia,2018,4.629
France,2018,4.614
South Africa,2018,4.358
New Zealand,2018,4.337
Mexico,2018,4.316
Greece,2018,4.182
Tajikistan,2018,4.18
Germany,2018,3.965
Tunisia,2018,3.858
Lebanon,2018,3.661
Venezuela,2018,3.658
Uganda,2018,3.278
Canada,2018,3.171
Jordan,2018,3.149
Italy,2018,3.043
Sweden,2018,2.892
Ireland,2018,2.845
Spain,2018,2.81
Bolivia,2018,2.795
Netherlands,2018,2.689
Ecuador,2018,2.606
Paraguay,2018,2.414
Haiti,2018,2.355
Nicaragua,2018,2.355
Australia,2018,2.148
Peru,2018,2.141
Malaysia,2018,2.09
Honduras,2018,2.023
Japan,2018,2.014
Ghana,2018,1.743
Finland,2018,1.721
Malawi,2018,1.635
Denmark,2018,1.484
Norway,2018,1.297
Costa Rica,2018,1.066
